zekr,repeat,bless
 أسـتغفر الله،  أسـتغفر الله،  أسـتغفر الله.اللهـم أنـت السلام ، ومـنك السلام ، تباركت يا ذا الجـلال والإكـرام .,1,
لا إله إلا الله وحده لا شريك له، له المـلك وله الحمد، وهو على كل شيء قدير، اللهـم لا مانع لما أعطـيت، ولا معطـي لما منـعت، ولا ينفـع ذا الجـد منـك الجـد.,1,
"لا إله إلا الله, وحده لا شريك له، له الملك وله الحمد، وهو على كل شيء قدير، لا حـول ولا قـوة إلا بالله، لا إله إلا اللـه، ولا نعـبـد إلا إيـاه, له النعـمة وله الفضل وله الثـناء الحـسن، لا إله إلا الله مخلصـين لـه الدين ولو كـره الكـافرون.",1,
سـبحان الله، والحمـد لله ، والله أكـبر.,33,
لا إله إلا الله وحـده لا شريك له، له الملك وله الحمد، وهو على كل شيء قـدير.,1,
بِسْمِ اللهِ الرَّحْمنِ الرَّحِيم'قل هو ٱلله أحد، ٱلله ٱلصمد، لم يلد ولم يولد، ولم يكن لهۥ كفوا أحد'. ,3, ثلاث مرات بعد صلاتي الفجر والمغرب. ومرة بعد الصلوات الأخرى. 
أسْمِ اللهِ الرَّحْمنِ الرَّحِيم' قل عوذ برب ٱلفلق، من شر ما خلق، ومن شر غاسق إذا وقب، ومن شر ٱلنفٰثٰت فى ٱلعقد، ومن شر حاسد إذا حسد'.,3, ثلاث مرات بعد صلاتي الفجر والمغرب. ومرة بعد الصلوات الأخرى. 
سْمِ اللهِ الرَّحْمنِ الرَّحِيم'قل أعوذ برب ٱلناس، ملك ٱلناس، إلٰه ٱلناس، من شر ٱلوسواس ٱلخناس، ٱلذى يوسوس فى صدور ٱلناس، من ٱلجنة وٱلناس'.,3, ثلاث مرات بعد صلاتي الفجر والمغرب. ومرة بعد الصلوات الأخرى. 
"أَعُوذُ بِاللهِ مِنْ الشَّيْطَانِ الرَّجِيمِ 'الله لا إلـه إلا هو الحي القيوم لا تأخذه سنة ولا نوم له ما في السماوات وما في الأرض من ذا الذي يشفع عنده إلا بإذنه يعلم ما بين أيديهم وما خلفهم ولا يحيطون بشيء من علمه إلا بما شاء وسع كرسيه السماوات والأرض ولا يؤوده حفظهما وهو العلي العظيم' -آية الكرسي,البقرة ,255.",1,
 لا إله إلا الله وحـده لا شريك له، له الملك وله الحمد، يحيـي ويمـيت وهو على كل شيء قدير.,10, عَشْر مَرّات بَعْدَ المَغْرِب وَالصّـبْح. 
 اللّهُـمَّ إِنِّـي أَسْأَلُـكَ عِلْمـاً نافِعـاً وَرِزْقـاً طَيِّـباً ، وَعَمَـلاً مُتَقَـبَّلاً.,1, بَعْد السّلامِ من صَلاةِ الفَجْر. 
اللهم أجرني من النار. ,7, بعد صلاة الصبح والمغرب. 
اللهم أعني على ذكرك وشكرك وحسن عبادتك.,1,
